run_id,num_missiles,engagement_range,axis,hits,destroyed,timeouts,ship_killed,hits_taken
10,10,3500.0,broadside,0,10,0,0,0
1,15,3500.0,broadside,7,8,0,0,7
2,15,3500.0,broadside,7,8,0,0,7
3,15,3500.0,broadside,6,9,0,0,6
4,15,3500.0,broadside,7,8,0,0,7
5,15,3500.0,broadside,6,9,0,0,6
6,15,3500.0,broadside,7,8,0,0,7
7,15,3500.0,broadside,8,7,0,0,8
8,15,3500.0,broadside,5,10,0,0,5
9,15,3500.0,broadside,7,8,0,0,7
10,15,3500.0,broadside,7,8,0,0,7
1,1,5000.0,broadside,0,1,0,0,0
